Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
25-03-2025;00:00:00;26-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;768,206;kVArh;Gevalideerd;
25-03-2025;00:00:00;26-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;24,200;kVArh;Gevalideerd;
25-03-2025;00:00:00;26-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2119,975;kVArh;Gevalideerd;
26-03-2025;00:00:00;27-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;1903,550;kWh;Gevalideerd;
26-03-2025;00:00:00;27-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;472,725;kWh;Gevalideerd;
26-03-2025;00:00:00;27-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;521,225;kVArh;Gevalideerd;
26-03-2025;00:00:00;27-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;32,175;kVArh;Gevalideerd;
26-03-2025;00:00:00;27-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;1425,875;kVArh;Gevalideerd;
27-03-2025;00:00:00;28-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3209,250;kWh;Gevalideerd;
27-03-2025;00:00:00;28-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;501,600;kWh;Gevalideerd;
27-03-2025;00:00:00;28-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;992,509;kVArh;Gevalideerd;
27-03-2025;00:00:00;28-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;33,000;kVArh;Gevalideerd;
27-03-2025;00:00:00;28-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2631,200;kVArh;Gevalideerd;
28-03-2025;00:00:00;29-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3240,600;kWh;Gevalideerd;
28-03-2025;00:00:00;29-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;376,750;kWh;Gevalideerd;
28-03-2025;00:00:00;29-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;942,528;kVArh;Gevalideerd;
28-03-2025;00:00:00;29-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;12,650;kVArh;Gevalideerd;
28-03-2025;00:00:00;29-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2542,925;kVArh;Gevalideerd;
29-03-2025;00:00:00;30-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
29-03-2025;00:00:00;30-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;618,750;kWh;Gevalideerd;
29-03-2025;00:00:00;30-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
29-03-2025;00:00:00;30-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;70,950;kVArh;Gevalideerd;
29-03-2025;00:00:00;30-03-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;3,025;kVArh;Gevalideerd;
30-03-2025;00:00:00;31-03-2025;01:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
30-03-2025;00:00:00;31-03-2025;01:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;594,275;kWh;Gevalideerd;
30-03-2025;00:00:00;31-03-2025;01:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
30-03-2025;00:00:00;31-03-2025;01:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;64,625;kVArh;Gevalideerd;
30-03-2025;00:00:00;31-03-2025;01:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2,475;kVArh;Gevalideerd;
31-03-2025;00:00:00;01-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3214,750;kWh;Gevalideerd;
31-03-2025;00:00:00;01-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;485,100;kWh;Gevalideerd;
31-03-2025;00:00:00;01-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;972,600;kVArh;Gevalideerd;
31-03-2025;00:00:00;01-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;39,600;kVArh;Gevalideerd;
31-03-2025;00:00:00;01-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2617,725;kVArh;Gevalideerd;
01-04-2025;00:00:00;02-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;2829,475;kWh;Gevalideerd;
01-04-2025;00:00:00;02-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;540,375;kWh;Gevalideerd;
01-04-2025;00:00:00;02-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;823,834;kVArh;Gevalideerd;
01-04-2025;00:00:00;02-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;37,125;kVArh;Gevalideerd;
01-04-2025;00:00:00;02-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2268,200;kVArh;Gevalideerd;
02-04-2025;00:00:00;03-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3314,300;kWh;Gevalideerd;
02-04-2025;00:00:00;03-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;477,950;kWh;Gevalideerd;
02-04-2025;00:00:00;03-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;983,498;kVArh;Gevalideerd;
02-04-2025;00:00:00;03-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;25,025;kVArh;Gevalideerd;
02-04-2025;00:00:00;03-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2683,725;kVArh;Gevalideerd;
03-04-2025;00:00:00;04-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;2958,175;kWh;Gevalideerd;
03-04-2025;00:00:00;04-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;506,000;kWh;Gevalideerd;
03-04-2025;00:00:00;04-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;974,031;kVArh;Gevalideerd;
03-04-2025;00:00:00;04-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;26,125;kVArh;Gevalideerd;
03-04-2025;00:00:00;04-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2523,950;kVArh;Gevalideerd;
04-04-2025;00:00:00;05-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3143,800;kWh;Gevalideerd;
04-04-2025;00:00:00;05-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;420,200;kWh;Gevalideerd;
04-04-2025;00:00:00;05-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;979,552;kVArh;Gevalideerd;
04-04-2025;00:00:00;05-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;71,775;kVArh;Gevalideerd;
04-04-2025;00:00:00;05-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2593,800;kVArh;Gevalideerd;
05-04-2025;00:00:00;06-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
05-04-2025;00:00:00;06-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;387,475;kWh;Gevalideerd;
05-04-2025;00:00:00;06-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;10,729;kVArh;Gevalideerd;
05-04-2025;00:00:00;06-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;183,700;kVArh;Gevalideerd;
05-04-2025;00:00:00;06-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
06-04-2025;00:00:00;07-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
06-04-2025;00:00:00;07-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;405,350;kWh;Gevalideerd;
06-04-2025;00:00:00;07-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;2,757;kVArh;Gevalideerd;
06-04-2025;00:00:00;07-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;177,100;kVArh;Gevalideerd;
06-04-2025;00:00:00;07-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
07-04-2025;00:00:00;08-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3186,975;kWh;Gevalideerd;
07-04-2025;00:00:00;08-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;440,550;kWh;Gevalideerd;
07-04-2025;00:00:00;08-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;988,071;kVArh;Gevalideerd;
07-04-2025;00:00:00;08-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;78,650;kVArh;Gevalideerd;
07-04-2025;00:00:00;08-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2633,675;kVArh;Gevalideerd;
08-04-2025;00:00:00;09-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3268,100;kWh;Gevalideerd;
08-04-2025;00:00:00;09-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;421,025;kWh;Gevalideerd;
08-04-2025;00:00:00;09-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;955,769;kVArh;Gevalideerd;
08-04-2025;00:00:00;09-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;62,150;kVArh;Gevalideerd;
08-04-2025;00:00:00;09-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2610,850;kVArh;Gevalideerd;
09-04-2025;00:00:00;10-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3388,825;kWh;Gevalideerd;
09-04-2025;00:00:00;10-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;500,225;kWh;Gevalideerd;
09-04-2025;00:00:00;10-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;975,434;kVArh;Gevalideerd;
09-04-2025;00:00:00;10-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;39,875;kVArh;Gevalideerd;
09-04-2025;00:00:00;10-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2709,575;kVArh;Gevalideerd;
10-04-2025;00:00:00;11-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3229,050;kWh;Gevalideerd;
10-04-2025;00:00:00;11-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;531,300;kWh;Gevalideerd;
10-04-2025;00:00:00;11-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;996,481;kVArh;Gevalideerd;
10-04-2025;00:00:00;11-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;24,200;kVArh;Gevalideerd;
10-04-2025;00:00:00;11-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2679,325;kVArh;Gevalideerd;
11-04-2025;00:00:00;12-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;2655,125;kWh;Gevalideerd;
11-04-2025;00:00:00;12-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;477,400;kWh;Gevalideerd;
11-04-2025;00:00:00;12-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;739,182;kVArh;Gevalideerd;
11-04-2025;00:00:00;12-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;29,150;kVArh;Gevalideerd;
11-04-2025;00:00:00;12-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2091,650;kVArh;Gevalideerd;
12-04-2025;00:00:00;13-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
12-04-2025;00:00:00;13-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;445,500;kWh;Gevalideerd;
12-04-2025;00:00:00;13-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,777;kVArh;Gevalideerd;
12-04-2025;00:00:00;13-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;126,225;kVArh;Gevalideerd;
12-04-2025;00:00:00;13-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,825;kVArh;Gevalideerd;
13-04-2025;00:00:00;14-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
13-04-2025;00:00:00;14-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;408,925;kWh;Gevalideerd;
13-04-2025;00:00:00;14-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
13-04-2025;00:00:00;14-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;125,675;kVArh;Gevalideerd;
13-04-2025;00:00:00;14-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2,475;kVArh;Gevalideerd;
14-04-2025;00:00:00;15-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3088,525;kWh;Gevalideerd;
14-04-2025;00:00:00;15-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;169,950;kWh;Gevalideerd;
14-04-2025;00:00:00;15-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;861,906;kVArh;Gevalideerd;
14-04-2025;00:00:00;15-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;74,800;kVArh;Gevalideerd;
14-04-2025;00:00:00;15-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2315,500;kVArh;Gevalideerd;
15-04-2025;00:00:00;16-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3255,175;kWh;Gevalideerd;
15-04-2025;00:00:00;16-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;477,125;kWh;Gevalideerd;
15-04-2025;00:00:00;16-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;1012,835;kVArh;Gevalideerd;
15-04-2025;00:00:00;16-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;45,100;kVArh;Gevalideerd;
15-04-2025;00:00:00;16-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2707,375;kVArh;Gevalideerd;
16-04-2025;00:00:00;17-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;2630,100;kWh;Gevalideerd;
16-04-2025;00:00:00;17-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;476,575;kWh;Gevalideerd;
16-04-2025;00:00:00;17-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;744,077;kVArh;Gevalideerd;
16-04-2025;00:00:00;17-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;27,775;kVArh;Gevalideerd;
16-04-2025;00:00:00;17-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2080,650;kVArh;Gevalideerd;
17-04-2025;00:00:00;18-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3303,575;kWh;Gevalideerd;
17-04-2025;00:00:00;18-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;473,550;kWh;Gevalideerd;
17-04-2025;00:00:00;18-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;1008,410;kVArh;Gevalideerd;
17-04-2025;00:00:00;18-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;33,275;kVArh;Gevalideerd;
17-04-2025;00:00:00;18-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2698,300;kVArh;Gevalideerd;
18-04-2025;00:00:00;19-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;261,525;kWh;Gevalideerd;
18-04-2025;00:00:00;19-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;201,850;kWh;Gevalideerd;
18-04-2025;00:00:00;19-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,264;kVArh;Gevalideerd;
18-04-2025;00:00:00;19-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;113,300;kVArh;Gevalideerd;
18-04-2025;00:00:00;19-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;1,100;kVArh;Gevalideerd;
19-04-2025;00:00:00;20-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
19-04-2025;00:00:00;20-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;392,975;kWh;Gevalideerd;
19-04-2025;00:00:00;20-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
19-04-2025;00:00:00;20-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;150,150;kVArh;Gevalideerd;
19-04-2025;00:00:00;20-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
20-04-2025;00:00:00;21-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
20-04-2025;00:00:00;21-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;404,525;kWh;Gevalideerd;
20-04-2025;00:00:00;21-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
20-04-2025;00:00:00;21-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;146,025;kVArh;Gevalideerd;
20-04-2025;00:00:00;21-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,275;kVArh;Gevalideerd;
21-04-2025;00:00:00;22-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
21-04-2025;00:00:00;22-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;389,125;kWh;Gevalideerd;
21-04-2025;00:00:00;22-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
21-04-2025;00:00:00;22-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;149,325;kVArh;Gevalideerd;
21-04-2025;00:00:00;22-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,275;kVArh;Gevalideerd;
22-04-2025;00:00:00;23-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3277,450;kWh;Gevalideerd;
22-04-2025;00:00:00;23-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;403,975;kWh;Gevalideerd;
22-04-2025;00:00:00;23-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;971,578;kVArh;Gevalideerd;
22-04-2025;00:00:00;23-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;67,925;kVArh;Gevalideerd;
22-04-2025;00:00:00;23-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2655,675;kVArh;Gevalideerd;
23-04-2025;00:00:00;24-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;400,950;kWh;Gevalideerd;
23-04-2025;00:00:00;24-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;168,025;kWh;Gevalideerd;
23-04-2025;00:00:00;24-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,221;kVArh;Gevalideerd;
23-04-2025;00:00:00;24-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;123,750;kVArh;Gevalideerd;
23-04-2025;00:00:00;24-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;1,100;kVArh;Gevalideerd;
24-04-2025;00:00:00;25-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;1631,575;kWh;Gevalideerd;
24-04-2025;00:00:00;25-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;189,200;kWh;Gevalideerd;
24-04-2025;00:00:00;25-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;341,531;kVArh;Gevalideerd;
24-04-2025;00:00:00;25-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;61,325;kVArh;Gevalideerd;
24-04-2025;00:00:00;25-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;989,450;kVArh;Gevalideerd;
25-04-2025;00:00:00;26-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;2838,000;kWh;Gevalideerd;
25-04-2025;00:00:00;26-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;480,700;kWh;Gevalideerd;
25-04-2025;00:00:00;26-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;826,697;kVArh;Gevalideerd;
25-04-2025;00:00:00;26-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;60,225;kVArh;Gevalideerd;
25-04-2025;00:00:00;26-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2279,475;kVArh;Gevalideerd;
26-04-2025;00:00:00;27-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
26-04-2025;00:00:00;27-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;517,550;kWh;Gevalideerd;
26-04-2025;00:00:00;27-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
26-04-2025;00:00:00;27-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;135,300;kVArh;Gevalideerd;
26-04-2025;00:00:00;27-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,275;kVArh;Gevalideerd;
27-04-2025;00:00:00;28-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
27-04-2025;00:00:00;28-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;414,700;kWh;Gevalideerd;
27-04-2025;00:00:00;28-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;3,478;kVArh;Gevalideerd;
27-04-2025;00:00:00;28-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;149,875;kVArh;Gevalideerd;
27-04-2025;00:00:00;28-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
28-04-2025;00:00:00;29-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;510,125;kWh;Gevalideerd;
28-04-2025;00:00:00;29-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;146,575;kWh;Gevalideerd;
28-04-2025;00:00:00;29-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;90,264;kVArh;Gevalideerd;
28-04-2025;00:00:00;29-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;158,400;kVArh;Gevalideerd;
28-04-2025;00:00:00;29-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;187,825;kVArh;Gevalideerd;
29-04-2025;00:00:00;30-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;3175,700;kWh;Gevalideerd;
29-04-2025;00:00:00;30-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;407,000;kWh;Gevalideerd;
29-04-2025;00:00:00;30-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;876,108;kVArh;Gevalideerd;
29-04-2025;00:00:00;30-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;87,450;kVArh;Gevalideerd;
29-04-2025;00:00:00;30-04-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2514,600;kVArh;Gevalideerd;
30-04-2025;00:00:00;01-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;2996,675;kWh;Gevalideerd;
30-04-2025;00:00:00;01-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;345,675;kWh;Gevalideerd;
30-04-2025;00:00:00;01-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;846,446;kVArh;Gevalideerd;
30-04-2025;00:00:00;01-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;84,700;kVArh;Gevalideerd;
30-04-2025;00:00:00;01-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;2359,500;kVArh;Gevalideerd;
01-05-2025;00:00:00;02-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
01-05-2025;00:00:00;02-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;342,650;kWh;Gevalideerd;
01-05-2025;00:00:00;02-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;1,889;kVArh;Gevalideerd;
01-05-2025;00:00:00;02-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;153,450;kVArh;Gevalideerd;
01-05-2025;00:00:00;02-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,275;kVArh;Gevalideerd;
02-05-2025;00:00:00;03-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;203,775;kWh;Gevalideerd;
02-05-2025;00:00:00;03-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;132,825;kWh;Gevalideerd;
02-05-2025;00:00:00;03-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;2,497;kVArh;Gevalideerd;
02-05-2025;00:00:00;03-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;153,725;kVArh;Gevalideerd;
02-05-2025;00:00:00;03-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
03-05-2025;00:00:00;04-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
03-05-2025;00:00:00;04-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;349,800;kWh;Gevalideerd;
03-05-2025;00:00:00;04-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;1,865;kVArh;Gevalideerd;
03-05-2025;00:00:00;04-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;153,450;kVArh;Gevalideerd;
03-05-2025;00:00:00;04-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
04-05-2025;00:00:00;05-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
04-05-2025;00:00:00;05-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;365,475;kWh;Gevalideerd;
04-05-2025;00:00:00;05-05-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,750;kVArh;Gevalideerd;
